title,company,location,link,salary
Open AI Developer | 4 to 10 years | PAN India,Capgemini Invent,"Gurgaon, Haryana",https://in.indeed.com/rc/clk?jk=afe3d3380b0954be&bb=LytfCZtUZ9FU9sOrbt8HgjnJqA90ig7VsRwwaniIcR3A8q5RbGRjLwwZukkoIhNb&xkcb=SoDT67M3Gyme_Bg2iT0KbzkdCdPP&fccid=5d72e2fe76078b02&vjs=3,Permanent
Software Analyst,Ericsson,,https://in.indeed.com/rc/clk?jk=c484519856b3bcaf&bb=WVGW3mv7QsBn7iSA-I9ygMsYtqvVo12oOLEJjbSdeAPRsp3Oh7D3c21L3gelVIwr&xkcb=SoDp67M3Gyme_AA2iT0LbzkdCdPP&fccid=82656d64a9a3e6a7&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=59d694cd2d7ed586&bb=WVGW3mv7QsDYZSsDdtF_VmqyhU2pQi8Y8JZ0Nm3ohlJlgq_aJv80M5SuqNrFsB-f&xkcb=SoB067M3Gyme_AA2iT0IbzkdCdPP&fccid=dc1ea1476aff4847&cmp=Capital-Street-FX&ti=Full+Stack+Developer&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=8e5a11dbe5a1b834&bb=MaF2bOuXagt9rGBG95h5lhZtOc0yNyfOzh0qKBY47Xj4Cczd63Zl78LWS7hrd_4l&xkcb=SoAx67M3Gyme_Ag2iT0IbzkdCdPP&fccid=e9c8111ee4de3cfa&cmp=LanceTech-Solutions-Pvt-Ltd&ti=Data+Engineer&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=3f778fe9289e052f&bb=MaF2bOuXagsddhRh06Q479UqHP-WVfa8Fz1ctAGIOeUJcJfvDMLngN8KurlqxHro&xkcb=SoCW67M3Gyme_Ag2iT0NbzkdCdPP&fccid=48aa3cf4be6f66e7&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=45553eb5dd136d28&bb=0wLwqOblSUbDfLifWg7yWrxf0QVRU0Z0R25NI5uT9JdJuZVFBFHJDwf4dAFsKVks&xkcb=SoBo67M3Gyme_DA2iT0IbzkdCdPP&fccid=25bff2876222b88b&cmp=wedding-banquets&ti=Full+Stack+Developer&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=056a243391278e7e&bb=0wLwqOblSUZ3wuf6ezoMFtQ-8gLoeCrCbjZSI_gvdDkbcngNmTSWmkJEbE22O8yD&xkcb=SoB767M3Gyme_DA2iT0MbzkdCdPP&fccid=18b477ea407ef23b&cmp=CyntraLabs&ti=Python+Developer&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=e8527199acd1ac12&bb=v1wdKjOvKtb6RnidXw7Ir8y3iPnjLxbiasFg_PIYKfxa0YE2NtGujg81ciTqAcj4&xkcb=SoCj67M3Gyme_Dg2iT0PbzkdCdPP&fccid=0098b51334dc7c7a&cmp=iXceed-Solutions&ti=Python+Developer&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=6cbacf206583437c&bb=l1aTyE_SYM_G9NC2O8vk4dcPjlSrhUh37t2bUndsEsQIthlqehuhQYIsv7pnOc6g&xkcb=SoCK67M3Gyme_CA2iT0KbzkdCdPP&fccid=6d96aa68ba7d7cee&cmp=NCR-JOB-CONSULTANT&ti=Python+Developer&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=e854e4a9b3ebcb15&bb=l1aTyE_SYM9eNcSwUWWuGSSkBp5IA6R2bSFGRjrV63MpyeGpbY_y2kaq-3WUpbgX&xkcb=SoAt67M3Gyme_CA2iT0PbzkdCdPP&fccid=2fc4897d673d53b9&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=34a6b189b0e84899&bb=l1aTyE_SYM8Jp9Od8qkZtzX75NxxgRwnXbo8e36HOKijS2UVElt4ZQH7lbo_ugmE&xkcb=SoBZ67M3Gyme_CA2iT0DbzkdCdPP&fccid=fb59ae4606590939&cmp=Roadcast-Tech.-Solutions-Pvt.-Ltd.&ti=Back+End+Developer&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=ef7bb48e2375a1ec&bb=50zDs-Dnuijme-voOHTraPV817tkEVhgwPplg0HQJlSgYa0_lyVtTovWJomkejc1&xkcb=SoBo67M3Gyme_Cg2iT0PbzkdCdPP&fccid=bb95ccf807a8406a&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=ddd00693a5e60451&bb=IWpJWA7Y7ZOqPwLN48rX7bnQRaW4KtnkG3TVLT0ACmBG77AgKjX-eSH5cS5BLbjD&xkcb=SoAc67M3Gyme_Cg2iT0DbzkdCdPP&fccid=bb95ccf807a8406a&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=1a8d0a72d7c702af&bb=IWpJWA7Y7ZNS4koniUb-Z9emaCRud7WvQ6y_LgWHq3NenyrvzTYNR7AHO0nnY7Bt&xkcb=SoB767M3Gyme_NA2iT0JbzkdCdPP&fccid=6d96aa68ba7d7cee&cmp=NCR-JOB-CONSULTANT&ti=Developer&vjs=3,
,,,https://in.indeed.com/rc/clk?jk=ac9f46f5ef383563&bb=IWpJWA7Y7ZNU1d_4avnU2IwvtQqcdhJJYmC-02B_IFz9LGH5M-8-q344NPkPyTjQ&xkcb=SoD167M3Gyme_NA2iT0ObzkdCdPP&fccid=31e7ca2de2a00599&cmp=Kickr-Technology&ti=Senior+Software+Test+Engineer&vjs=3,
Principal DevOps Engineer,Amplifi Capital,"Noida, Uttar Pradesh",https://in.indeed.com/rc/clk?jk=4b54008f752a41c4&bb=3b1bWS-aqkg_pyVm2l_bIX6ttx2-3cAUUXdF-Qdmfc4JTOuTZfgVjQv4bze-7R4r&xkcb=SoB567M3GymeEx2zDx0PbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3,₹25 an hour
Backend Engineer,iXceed Solutions,"Gurgaon, Haryana",https://in.indeed.com/rc/clk?jk=1f1caebce60f4d90&bb=n8418GiCCYmbRbqoKTAdrXcXyTzbwn9cVPv3Qj-75zzk8tRrY3TTfZBzc7kniiEc&xkcb=SoDk67M3GymeEwWzDx0LbzkdCdPP&fccid=0098b51334dc7c7a&cmp=iXceed-Solutions&ti=Back+End+Developer&vjs=3,"₹30,00,000 - ₹45,00,000 a year"
IT Developer,Insight Enterprises,"Gurgaon, Haryana",https://in.indeed.com/rc/clk?jk=96e9499cfcef1133&bb=DjF9ZvKjkj0JPZ9XTICCJt2uO3hO_U7UOcKEiS41bKYCRWDxZjtNne9q8zFd7Lb5&xkcb=SoCh67M3GymeEw2zDx0LbzkdCdPP&fccid=69247daab4a84a92&vjs=3,
DevOps Engineer,Shaurya Infosoft PVT. LTD.,"Noida, Uttar Pradesh",https://in.indeed.com/rc/clk?jk=e8507fe060ba574a&bb=DjF9ZvKjkj0FPBO4d16LBLBhWXJAOLrToL6qeF8Xv9h7ipW6WNeHhPFo0Bl6yhqC&xkcb=SoCI67M3GymeEw2zDx0JbzkdCdPP&fccid=07157ad70768a9ec&cmp=Shaurya-infosoft&ti=Development+Operations+Engineer&vjs=3,"₹50,000 - ₹80,000 a month"
AM/DM - Embedded Software Design & Development,Right Advisors Private Limited,"Gurgaon, Haryana",https://in.indeed.com/rc/clk?jk=fcceba865b68a2da&bb=42dL0usYkOwDlbVrPfesEJl4QNddm4zhD2mxopW0izL8zxhu6lBex82I0eOJ9OtK&xkcb=SoD467M3GymeEzWzDx0LbzkdCdPP&fccid=fa2820e2b2278b6d&cmp=Right-Advisors-Private-Limited&ti=User+Experience+Designer&vjs=3,"Up to ₹20,00,000 a year"
